column,min,max,width,hidden,best_fit,outline_level,collapsed,style_id,custom_width
LBM,8177,8177,30.44140625,False,False,0,False,169,True
LBN,8178,8178,33.21875,False,False,0,False,169,True
LBO,8179,8179,21.21875,False,False,0,False,169,True
LBP,8180,8420,9.21875,False,False,0,False,169,True
LKW,8421,8421,2.77734375,False,False,0,False,169,True
LKX,8422,8422,7.21875,False,False,0,False,169,True
LKY,8423,8423,23.77734375,False,False,0,False,169,True
LKZ,8424,8424,17.21875,False,False,0,False,169,True
LLA,8425,8425,15.0,False,False,0,False,169,True
LLB,8426,8426,18.77734375,False,True,0,False,169,True
LLC,8427,8427,15.21875,False,False,0,False,169,True
LLD,8428,8428,9.77734375,False,False,0,False,169,True
LLE,8429,8429,41.21875,False,False,0,False,169,True
LLF,8430,8430,41.44140625,False,False,0,False,169,True
LLG,8431,8432,22.44140625,False,False,0,False,169,True
